otu	test-stat	p	q	site	n_asp	n_nml	total_taxa	level
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__;d__denovo58	0.29146045770084283	0.5892861511969838	0.8006699096790644	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Ruminococcus2;s__;d__denovo57	0.5672763630769659	0.45134325149404	0.7400115501527722	bal	33	33	928	otu
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__;d__denovo886	0.0009615313495302645	0.9752627059108638	1.0	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__;d__denovo884	3.1027480003559673	0.07816025733157968	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillales_Incertae_Sedis_XI;g__Gemella;s__;d__denovo882	-1.6616328902410353e-13	1.0	1.0	bal	33	33	928	otu
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__;d__denovo883	0.6449235141751509	0.4219335244745276	0.706826998099438	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__;d__denovo888	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Coriobacteriales;f__Coriobacteriaceae;g__Atopobium;s__;d__denovo889	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__;d__denovo912	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__;d__denovo923	0.0004662004660762982	0.9827736736935181	1.0	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo922	0.2126921170053731	0.6446654836673169	0.8286005108632549	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__;d__denovo1172	0.34369492068565727	0.5577041688335906	0.7919885896228442	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__;d__denovo1176	0.00016531237676645916	0.989741572797452	1.0	bal	33	33	928	otu
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__;d__denovo1177	0.17631558552274681	0.6745588770251287	0.8386467638035751	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Moraxella;s__;d__denovo726	0.08422248172373059	0.7716547460013857	0.9064501320117543	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__;d__denovo754	-8.843478762428579e-14	1.0	1.0	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__;d__denovo722	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__Neisseria;s__;d__denovo1515	0.0009507789073014682	0.9754013646016386	1.0	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__;d__denovo1519	0.5405280395536798	0.4622139721115165	0.7473862449463468	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1680	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__;d__denovo1990	0.3866173350230395	0.5340828548837944	0.7919885896228442	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__;d__denovo1014	0.574303046048898	0.4485540492035257	0.7380463788313332	bal	33	33	928	otu
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__;d__denovo1359	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo1350	0.0004662004660762982	0.9827736736935181	1.0	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__;s__;d__denovo1421	1.8376677033097013	0.1752245528546816	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Oribacterium;s__;d__denovo1355	0.0004662004660762982	0.9827736736935181	1.0	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo323	1.696152561493881	0.1927919077820012	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Candidatus_Saccharibacteria;c__;o__;f__;g__Saccharibacteria_genera_incertae_sedis;s__;d__denovo321	0.028201259561089022	0.8666365341338689	0.9953449302923643	bal	33	33	928	otu
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Rothia;s__;d__denovo327	1.9909664247457983	0.15823986783001207	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia;s__;d__denovo326	0.7984462709715414	0.3715583153054107	0.6555249365084053	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Serratia;s__;d__denovo324	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__;d__denovo1193	1.290524767116251	0.25595126529118906	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__;d__denovo328	2.382911463228992	0.1226687376311023	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo1197	0.3866173350230395	0.5340828548837944	0.7919885896228442	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__;d__denovo1194	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo1195	0.38031156293424284	0.5374365403084542	0.7919885896228442	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__;d__denovo1012	0.810030646371394	0.36811119024042493	0.650680351510694	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__;d__denovo750	0.9999999999996206	0.31731050786300297	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Granulicatella;s__;d__denovo1811	3.093254286172006	0.07861743375891374	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Sporobacter;s__;d__denovo186	0.0004662004660762982	0.9827736736935181	1.0	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo184	1.002579555004283	0.31668713508199864	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Corynebacteriaceae;g__Corynebacterium;s__;d__denovo182	1.5868402697047213	0.20777815261528304	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__;d__denovo181	2.0307692307691045	0.15414257309800883	0.5912934764997324	bal	33	33	928	otu
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__;d__denovo180	0.4714284392721023	0.4923307526819618	0.7863733881047513	bal	33	33	928	otu
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Haemophilus;s__;d__denovo1224	0.0004662004660762982	0.9827736736935181	1.0	bal	33	33	928	otu
k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__;d__denovo1226	2.0307692307691045	0.15414257309800883	0.5912934764997324	bal	33	33	928	otu
