bioproject_accession	sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
	04-074-1T	04-074-1T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-074-1T_R1.fastq	04-074-1T_R2.fastq
	02-164-1G	02-164-1G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-164-1G_R1.fastq	02-164-1G_R2.fastq
	04-262-5T	04-262-5T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-262-5-T_R1.fastq	04-262-5-T_R2.fastq
	04-074-1G	04-074-1G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-074-1G_R1.fastq	04-074-1G_R2.fastq
	04-074-1B	04-074-1B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-074-1B_R1.fastq	04-074-1B_R2.fastq
	037-3-F1	037-3-F1	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	037-3-F1_R1.fastq	037-3-F1_R2.fastq
	04-262-5B	04-262-5B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-262-5-B_R1.fastq	04-262-5-B_R2.fastq
	04-262-5G	04-262-5G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	04-262-5-G_R1.fastq	04-262-5-G_R2.fastq
	02-098-5T	02-098-5T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-098-5T_R1.fastq	02-098-5T_R2.fastq
	03-112-5T	03-112-5T	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-112-5T_R1.fastq	03-112-5T_R2.fastq
	02-098-5B	02-098-5B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-098-5B_R1.fastq	02-098-5B_R2.fastq
	02-098-5G	02-098-5G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	02-098-5G_R1.fastq	02-098-5G_R2.fastq
	03-112-5G	03-112-5G	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-112-5G_R1.fastq	03-112-5G_R2.fastq
	03-112-5B	03-112-5B	Aerodigestive microbiome: 16S sequencing of oropharyngeal, gastric, and BAL samples	AMPLICON	METAGENOMIC	PCR	PAIRED	ILLUMINA	Illumina MiSeq	Samples suspended in Tris-Saline buffer were centrifuged for 3 minutes at 10,000 rcf. DNA was extracted from the sample pellet with the Qiagen DNeasy PowerSoil Kit, with the following modifications: protein precipitation in one step using 100 μL of each C2 and C3 solutions, and column centrifugation at 10,000 rcf for 10 minutes.	fastq	03-112-5B_R1.fastq	03-112-5B_R2.fastq
